lambda,a,root_mean square test error,root_mean square training error
0.001,0.1,0.0970449392746,0.0999943047218
0.001,0.5,0.457144435799,0.489835352596
0.001,1,1.05212321428,0.933149574261
0.001,2,1.91750507407,1.85467926578
0.001,10,10.4018069042,9.90977827369
0.01,0.1,0.0989056534981,0.0962677113077
0.01,0.5,0.525340116616,0.497368792212
0.01,1,0.942354870095,1.0055927076
0.01,2,1.99970562737,1.9105525077
0.01,10,9.56741799995,10.1684201408
0.1,0.1,0.0971807046634,0.103357080865
0.1,0.5,0.473779370068,0.478400770334
0.1,1,1.02421634809,0.980429904331
0.1,2,1.92630411261,1.97776464615
0.1,10,9.23522732879,10.2600561006
1,0.1,0.127753329389,0.109968290997
1,0.5,0.488927985077,0.48242941617
1,1,1.09723007022,0.983391735867
1,2,2.05944302639,2.021627534
1,10,9.77808639383,9.41945946938
10,0.1,0.26984894847,0.164961343573
10,0.5,0.524862050639,0.519725730538
10,1,1.06563226532,1.01746784467
10,2,2.07677108207,1.86533300565
10,10,9.97574937635,9.31653479178
100,0.1,0.626947630881,0.356495336133
100,0.5,0.799814568868,0.607505803924
100,1,1.22537591579,1.07546234564
100,2,2.1750735473,1.99293173244
100,10,9.84775814801,9.50060152555
1000,0.1,1.11800393849,0.64030472375
1000,0.5,1.22498567089,0.835500017976
1000,1,1.52061524536,1.14342883676
1000,2,2.2549687354,2.11608492649
1000,10,9.75346684548,9.47144308301
